yearMonth,source,engine,sessions,purchases,revenue
202601,chatgpt.com,ChatGPT,262,9,29420.000023000004
202510,chatgpt.com,ChatGPT,243,4,10750.000053
202603,chatgpt.com,ChatGPT,240,3,7919.999994
202602,chatgpt.com,ChatGPT,239,2,2250.000043
202604,chatgpt.com,ChatGPT,239,4,6305.000031
202511,chatgpt.com,ChatGPT,238,2,6429.999987
202512,chatgpt.com,ChatGPT,201,3,6789.999992
202508,chatgpt.com,ChatGPT,150,0,0.0
202509,chatgpt.com,ChatGPT,148,2,12099.99999
202507,chatgpt.com,ChatGPT,111,0,0.0
202506,chatgpt.com,ChatGPT,103,1,1664.999989
202505,chatgpt.com,ChatGPT,71,0,0.0
202601,gemini.google.com,Gemini,54,0,0.0
202603,gemini.google.com,Gemini,52,0,0.0
202604,gemini.google.com,Gemini,52,1,1750.000012
202602,gemini.google.com,Gemini,32,0,0.0
202510,perplexity.ai,Perplexity,22,0,0.0
202512,gemini.google.com,Gemini,21,0,0.0
202509,gemini.google.com,Gemini,18,0,0.0
202511,gemini.google.com,Gemini,17,0,0.0
202509,perplexity.ai,Perplexity,15,0,0.0
202505,perplexity.ai,Perplexity,11,0,0.0
202510,gemini.google.com,Gemini,10,0,0.0
202507,copilot.microsoft.com,Copilot,8,0,0.0
202511,perplexity.ai,Perplexity,8,0,0.0
202512,perplexity.ai,Perplexity,7,0,0.0
202604,perplexity.ai,Perplexity,7,0,0.0
202505,gemini.google.com,Gemini,6,0,0.0
202603,perplexity.ai,Perplexity,6,0,0.0
202604,claude.ai,Claude,6,0,0.0
202507,gemini.google.com,Gemini,5,0,0.0
202507,perplexity.ai,Perplexity,5,0,0.0
202506,copilot.microsoft.com,Copilot,4,0,0.0
202506,gemini.google.com,Gemini,4,0,0.0
202601,perplexity.ai,Perplexity,4,0,0.0
202506,perplexity.ai,Perplexity,3,0,0.0
202512,copilot.microsoft.com,Copilot,3,0,0.0
202604,copilot.com,Copilot,3,0,0.0
202505,copilot.microsoft.com,Copilot,2,0,0.0
202508,gemini.google.com,Gemini,2,0,0.0
202508,perplexity.ai,Perplexity,2,0,0.0
202510,claude.ai,Claude,2,0,0.0
202601,copilot.com,Copilot,2,0,0.0
202603,claude.ai,Claude,2,0,0.0
202510,copilot.microsoft.com,Copilot,1,0,0.0
202601,business.gemini.google,Gemini,1,0,0.0
202602,perplexity.ai,Perplexity,1,0,0.0
202603,copilot.com,Copilot,1,0,0.0
